ticker,sector,pe_trailing,pe_forward,ps_ratio,pb_ratio,ev_ebitda,peg_ratio,fcf_yield,revenue_growth,earnings_growth,operating_margin,profit_margin,gross_margin,roe,roa,debt_to_equity,current_ratio,dividend_yield
PRU,Financial Services,9.7678,6.3589,0.5546,1.0467,7.705,1.1281,0.3716,0.312,,0.1041,0.0584,0.296,0.1136,0.0042,1.2448,0.916,5.59
PSA,Real Estate,31.15,26.7611,10.1812,10.0448,18.664,4.0822,0.0483,0.033,-0.193,0.4621,0.3692,0.7472,0.1876,0.0705,1.0976,0.261,4.28
PSKY,Communication Services,317.3333,10.1157,0.3663,0.9151,8.857,1.3098,1.4966,0.021,,-0.0065,-0.0215,0.3183,-0.0086,0.0263,1.1711,1.257,2.1
PSX,Energy,16.346,12.147,0.5334,2.4296,13.824,1.0548,0.0179,0.013,2427.284,0.0275,0.0333,0.123,0.1543,0.0375,0.7138,1.296,2.88
PTC,Technology,21.0088,17.2441,5.9354,4.4138,14.799,1.4656,0.0464,0.214,1.044,0.338,0.2861,0.8423,0.2314,0.1124,0.3594,1.219,
PWR,Industrials,82.6888,36.4401,2.9453,9.3818,36.017,1.8358,0.0098,0.197,0.026,0.0523,0.0361,0.1501,0.1274,0.0455,0.711,1.136,0.08
PYPL,Financial Services,8.3808,7.8218,1.2789,2.0593,6.56,0.7151,0.0772,0.037,0.394,0.1748,0.1578,0.4148,0.2573,0.0488,0.607,1.287,1.24
Q,Technology,35.3121,26.7087,5.1392,3.4415,20.268,2.3721,0.0318,0.081,-0.528,0.2042,0.1456,0.4617,0.0798,0.0484,0.6143,1.945,0.12
QCOM,Technology,25.5645,11.4344,3.0184,5.9023,10.047,0.5402,0.077,0.05,-0.018,0.2747,0.1196,0.551,0.2148,0.1405,0.6422,2.505,2.81
RCL,Consumer Cyclical,17.5154,13.273,4.1601,7.3712,14.379,1.1311,-0.0026,0.133,0.371,0.2198,0.238,0.5062,0.4773,0.0781,2.1509,0.183,1.55
REG,Real Estate,27.2979,30.3137,8.9316,2.1014,18.971,2.6072,0.0467,0.089,1.419,0.3876,0.3274,0.7162,0.0768,0.0315,0.6939,0.618,3.92
REGN,Healthcare,18.3844,14.5124,5.6155,2.5008,17.088,1.6234,0.0405,0.025,-0.026,0.2313,0.3141,0.4457,0.1486,0.0591,9.511,4.126,0.49
RF,Financial Services,11.5087,9.2837,3.2394,1.2985,,1.616,,0.065,0.052,0.392,0.3056,0.0,0.1165,0.0136,,,3.95
RJF,Financial Services,13.9139,10.3886,1.9753,2.243,,0.8864,,0.057,-0.024,0.1974,0.1476,0.9298,0.1712,0.0245,0.4626,2.244,1.52
RL,Consumer Cyclical,23.6909,19.3335,2.6942,7.3017,15.853,1.5723,0.0271,0.122,0.249,0.2009,0.1173,0.6965,0.3385,0.0957,0.9897,2.099,1.05
RMD,Healthcare,22.1652,18.4012,6.0594,5.1641,15.84,1.3806,0.0433,0.11,0.145,0.3516,0.2753,0.6147,0.2568,0.1474,0.1341,3.06,1.07
ROK,Industrials,41.669,26.58,4.7911,10.9484,23.882,1.9978,0.025,0.119,0.671,0.1753,0.1156,0.4849,0.2374,0.0871,0.9929,1.156,1.51
ROL,Consumer Cyclical,49.4771,38.4341,6.9113,18.8831,31.479,3.8868,0.0214,0.097,0.099,0.1764,0.14,0.5275,0.3894,0.1529,0.7553,0.602,1.35
ROP,Technology,25.1851,15.3375,4.8746,1.9189,14.703,1.5843,0.055,0.097,-0.073,0.2858,0.1944,0.6924,0.0793,0.0424,0.4796,0.518,1.02
ROST,Consumer Cyclical,33.3303,27.2001,3.1275,11.4597,22.237,3.2007,0.023,0.122,0.118,0.1227,0.0943,0.3256,0.3668,0.1111,0.8424,1.583,0.81
RSG,Industrials,32.5825,27.7578,4.1562,5.7439,16.077,3.1979,0.0257,0.022,0.074,0.1949,0.1289,0.4301,0.183,0.0622,1.1535,0.642,1.12
RTX,Industrials,39.5585,26.0886,2.9806,4.0367,20.209,2.748,0.0244,0.121,0.083,0.1102,0.076,0.2008,0.1095,0.0388,0.5951,1.026,1.39
RVTY,Healthcare,43.1748,14.8229,3.4817,1.3774,14.772,0.5436,0.0526,0.059,0.125,0.2007,0.0844,0.5477,0.0322,0.0222,0.4687,1.682,0.31
SATS,Communication Services,,-87.5875,2.4773,6.4459,43.627,1.3345,-0.0213,-0.043,,0.0977,-0.9662,0.2582,-1.1135,-0.0011,5.3273,0.415,
SBAC,Real Estate,20.8204,25.8455,7.6578,-4.4421,20.286,4.5867,0.0426,0.037,1.156,0.5244,0.3743,0.7448,,0.0826,,0.286,2.45
SBUX,Consumer Cyclical,75.3083,30.6001,2.7309,-12.2719,23.57,1.492,-0.014,0.055,-0.625,0.0926,0.0363,0.2217,,0.0687,,1.047,2.74
SCHW,Financial Services,20.1656,13.7949,6.9656,3.8647,,1.1092,,0.189,0.411,0.4968,0.37,0.9741,0.181,0.0182,1.1532,0.63,1.37
SHW,Basic Materials,30.964,23.6871,3.3423,17.0318,20.551,2.7584,0.0245,0.056,0.014,0.1416,0.109,0.4885,0.5939,0.0961,3.0606,0.868,1.01
SJM,Consumer Defensive,,9.4835,1.1411,1.9454,9.38,,0.0868,0.07,,0.1878,-0.1407,0.3421,-0.2068,0.048,1.432,0.844,4.61
SLB,Energy,21.0383,14.8851,2.0784,2.8316,10.779,1.7319,0.033,0.05,-0.286,0.1599,0.0945,0.1869,0.139,0.0677,0.4598,1.326,2.39
SMCI,Technology,16.9489,7.7165,0.497,1.989,13.736,,0.0074,1.234,0.192,0.0374,0.0311,0.0802,0.1319,0.0342,0.7528,1.697,
SNA,Industrials,19.0505,17.0529,3.691,3.1966,13.378,2.0268,0.0336,0.031,0.029,0.254,0.1972,0.5174,0.1833,0.1003,0.2171,4.793,2.67
SNDK,Technology,,7.9976,11.5976,10.1669,72.144,,0.0121,0.612,6.18,0.355,-0.1166,0.3481,-0.0937,0.0587,7.96,3.114,
SNPS,Technology,60.6355,23.2159,9.4721,2.4814,52.328,2.6115,0.0408,0.655,-0.82,0.1334,0.1376,0.8202,0.0554,0.0204,0.3558,1.363,
SO,Utilities,24.8597,19.8213,3.6912,3.0284,13.238,2.7846,-0.0317,0.101,-0.221,0.1274,0.1469,0.4847,0.1104,0.0328,1.9059,0.646,3.04
SOLV,Healthcare,7.1588,9.0273,1.3248,2.1844,13.207,1.2198,0.0574,-0.037,1.008,0.0701,0.1869,0.5357,0.3886,0.0294,1.0394,1.231,
SPG,Real Estate,13.3148,27.294,9.6329,11.8735,19.394,,0.0381,0.132,3.581,0.4972,0.7271,0.819,1.0411,0.0544,4.3546,0.236,4.58
SPGI,Financial Services,29.4106,19.5285,8.513,4.1389,19.069,1.5234,0.0374,0.09,0.32,0.3825,0.2915,0.7025,0.1309,0.0666,0.3791,0.824,0.9
SRE,Utilities,36.0727,17.9411,4.73,2.0495,20.033,2.1375,-0.4278,-0.002,-0.482,0.2774,0.134,0.4118,0.0519,0.0177,0.8339,1.591,2.65
STE,Healthcare,30.5035,19.7414,3.6832,2.9989,14.664,1.6706,0.0406,0.092,0.121,0.1849,0.1214,0.4432,0.1047,0.0661,0.2865,2.479,1.12
STLD,Basic Materials,22.5815,11.4302,1.4363,2.9159,14.647,,-0.0042,0.14,0.347,0.0703,0.0652,0.1316,0.1328,0.0588,0.4908,3.055,1.13
STT,Financial Services,13.7021,9.8673,2.591,1.4803,,0.9657,,-0.028,-0.241,0.2782,0.2121,0.0,0.1108,0.0082,,,2.61
STX,Technology,48.5701,21.5413,9.5633,204.0684,34.148,0.6525,0.0114,0.215,0.677,0.2995,0.1959,0.3878,,0.1941,10.4662,1.119,0.69
STZ,Consumer Defensive,23.7363,12.2373,2.8054,3.3999,10.438,5.4559,0.0748,-0.098,-0.15,0.3392,0.1183,0.5214,0.1445,0.088,1.3329,1.339,2.7
SW,Consumer Cyclical,29.5414,12.3119,0.6606,1.1166,7.191,0.2642,0.0709,0.005,-0.33,0.0617,0.0224,0.1938,0.0391,0.0317,0.8101,1.478,4.6
SWK,Industrials,25.9019,10.8121,0.7045,1.1753,9.906,,0.0802,-0.01,-0.193,0.1035,0.0266,0.3063,0.0452,0.034,0.7002,1.14,4.84
SWKS,Technology,21.1456,11.0644,2.0472,1.4366,8.389,1.5784,0.1325,-0.031,-0.47,0.1471,0.0973,0.4113,0.0648,0.0371,0.2071,2.396,5.15
SYF,Financial Services,7.3728,6.5429,2.5259,1.5291,,3.3823,,0.05,0.078,0.4853,0.3641,0.0,0.213,0.0298,,,1.75
SYK,Healthcare,39.5161,19.8026,5.0555,5.6563,20.023,1.5788,0.0328,0.114,0.559,0.2724,0.1292,0.6504,0.1508,0.0792,0.7297,1.893,1.06
SYY,Consumer Defensive,19.1806,14.1666,0.4124,14.9276,10.6,0.957,0.0514,0.03,-0.012,0.0399,0.0218,0.1846,0.8234,0.085,6.4025,1.295,3.04
T,Communication Services,9.3191,11.133,1.5784,1.8038,8.083,1.5962,0.0635,0.036,-0.056,0.1842,0.1747,0.5955,0.188,0.0407,1.2418,0.906,3.92
TAP,Consumer Defensive,,8.7133,0.7443,0.8214,5.975,4.369,0.0844,-0.027,-0.125,0.1356,-0.192,0.3837,-0.1817,0.0429,0.6177,0.553,4.36
TDG,Industrials,37.5966,25.3615,7.2343,-7.1,20.118,2.8818,0.0201,0.139,-0.129,0.456,0.2224,0.5969,,0.1178,,2.75,
TDY,Technology,33.0048,24.2334,4.7195,2.7373,20.804,,0.0238,0.073,0.391,0.206,0.1463,0.4276,0.0893,0.0492,0.2513,1.643,
TECH,Healthcare,100.2453,24.4393,6.8382,4.1183,25.666,0.6825,0.0314,-0.004,0.091,0.1967,0.0667,0.666,0.0397,0.0652,0.1745,4.539,0.6
TEL,Technology,30.1254,16.8848,3.3915,4.7283,14.666,1.2124,0.0324,0.217,0.444,0.209,0.1141,0.3569,0.161,0.0939,0.4569,1.651,1.39
TER,Technology,89.2248,37.4809,15.1946,17.286,59.645,1.7104,0.0056,0.439,0.814,0.3035,0.1737,0.5822,0.1973,0.1083,0.1013,1.748,0.17
TFC,Financial Services,12.3456,9.2001,3.2743,0.9878,,1.1962,,0.032,0.108,0.327,0.288,0.0,0.0824,0.0098,,,4.41
TGT,Consumer Defensive,14.8155,14.1551,0.5206,3.3742,8.591,3.4219,0.0475,-0.015,-0.05,0.0491,0.0354,0.2793,0.2403,0.0526,1.2552,0.942,3.79
TJX,Consumer Cyclical,33.1191,28.4656,2.9733,17.5239,22.051,3.371,0.0217,0.085,0.279,0.1327,0.091,0.3096,0.5913,0.1329,1.3238,1.138,1.19
TKO,Communication Services,90.1593,54.4838,3.3961,4.2398,17.903,,0.0473,0.119,,0.0977,0.0413,0.5981,0.0563,0.0364,0.4392,1.261,1.53
TMO,Healthcare,27.7035,18.2689,4.0975,3.4621,19.209,1.8199,0.0241,0.072,0.093,0.2117,0.1505,0.4108,0.1302,0.0503,0.7726,1.89,0.36
TMUS,Communication Services,20.6989,14.3289,2.5509,3.7656,10.358,0.7715,0.0355,0.113,-0.266,0.1836,0.1245,0.6317,0.1818,0.0568,2.0885,0.998,2.03
TPL,Energy,63.736,6.0755,38.3701,20.9914,46.524,,-0.0027,0.139,0.043,0.7064,0.6031,0.9329,0.3715,0.2582,1.219,4.398,0.54
TPR,Consumer Cyclical,54.7287,19.5912,3.8453,51.9309,17.345,0.3173,0.0491,0.14,0.942,0.2876,0.0695,0.7598,0.5534,0.1502,7.1548,1.626,1.13
TRGP,Energy,28.8196,22.0352,3.085,17.0998,14.452,,-0.005,-0.079,0.745,0.2262,0.1129,0.3829,0.5138,0.0868,5.4863,0.666,1.64
TRMB,Technology,37.0,16.107,4.319,2.6332,20.221,3.6476,0.0337,-0.014,0.805,0.225,0.1182,0.7108,0.0732,0.0411,0.2675,1.085,
TROW,Financial Services,9.7587,8.9186,2.6882,1.8147,6.31,11.1873,0.095,0.06,0.036,0.3222,0.2853,0.5127,0.1879,0.1065,3.891,6.234,5.77
TRV,Financial Services,10.7178,10.381,1.343,1.9439,7.489,2.3596,0.1845,0.035,0.234,0.2589,0.1288,0.2937,0.207,0.0371,0.2892,0.364,1.5
TSCO,Consumer Cyclical,21.2718,18.2366,1.4857,8.9465,14.69,1.7707,0.0223,0.033,-0.022,0.0764,0.0706,0.3642,0.4518,0.0884,2.3023,1.342,2.19
TSLA,Consumer Cyclical,333.8796,128.3042,14.269,16.4676,126.105,4.9177,0.0028,-0.031,-0.606,0.047,0.04,0.1803,0.0493,0.021,0.1776,2.164,
TSN,Consumer Defensive,115.4107,14.6991,0.4127,1.2626,11.593,1.0595,0.0507,0.051,-0.762,0.0291,0.0036,0.0615,0.0126,0.0217,0.4604,1.533,3.16
TT,Industrials,32.4768,25.3893,4.4414,11.0249,23.315,2.0957,0.0204,0.056,-0.005,0.155,0.1369,0.3616,0.3696,0.1164,0.6325,1.251,0.98
TTD,Communication Services,24.5,9.2544,3.6237,4.2241,13.952,0.8456,0.0573,0.143,0.075,0.3034,0.1531,0.7862,0.1632,0.0601,0.1756,1.611,
TTWO,Communication Services,,25.6279,5.6427,10.5835,46.371,2.124,0.0401,0.249,,-0.0205,-0.6045,0.5929,-0.8622,-0.0027,1.0045,1.137,
TXN,Technology,35.6905,24.6403,10.034,10.8611,23.216,1.5328,-0.0017,0.104,-0.032,0.3403,0.2828,0.5702,0.3015,0.1092,0.9082,4.353,2.91
TXT,Industrials,17.1973,12.0816,1.0362,1.949,10.713,1.1229,0.0556,0.156,0.744,0.0743,0.0622,0.1804,0.1224,0.0447,0.5438,1.969,0.09
TYL,Technology,46.9486,23.8224,6.2299,3.9365,32.374,1.6847,0.0347,0.063,0.011,0.1316,0.1353,0.4646,0.089,0.0414,0.1736,1.05,
UAL,Industrials,9.0402,6.2456,0.5054,1.9518,6.269,6.5026,0.0368,0.048,0.081,0.0914,0.0568,0.3396,0.2399,0.0423,2.0309,0.645,
UBER,Technology,15.1882,16.7328,2.8424,5.4936,24.329,4.5104,0.0429,0.201,-0.956,0.1235,0.1933,0.385,0.3993,0.0615,0.4381,1.136,
UDR,Real Estate,30.6549,62.9818,7.457,3.5039,17.666,,0.0684,0.015,,0.222,0.216,0.6662,0.0938,0.0209,1.4473,0.156,5.02
UHS,Healthcare,7.6527,6.9086,0.6216,1.483,6.107,1.2217,0.0524,0.091,0.427,0.1153,0.0857,0.4389,0.2133,0.0831,0.6973,1.052,0.45
ULTA,Consumer Cyclical,20.9672,17.0485,1.9237,8.4662,13.739,1.9707,0.0378,0.118,-0.054,0.1223,0.0931,0.4305,0.436,0.1474,0.7784,1.414,
UNH,Healthcare,20.9569,13.8437,0.5623,2.6692,14.526,0.9875,0.0551,0.123,-0.999,0.0034,0.0269,0.1853,0.1254,0.039,0.8162,0.788,3.19
UNP,Industrials,20.4095,18.0434,5.9273,7.8612,14.192,2.7573,0.027,-0.006,0.068,0.4089,0.2912,0.5635,0.4038,0.0907,1.7773,0.908,2.26
UPS,Industrials,14.9665,12.3241,0.9409,5.1368,8.688,1.5007,0.0622,-0.032,0.046,0.1075,0.0628,0.226,0.3377,0.0744,1.7588,1.219,6.68
URI,Industrials,18.9759,13.85,2.8648,5.1507,13.767,1.2051,0.0419,0.028,-0.019,0.2517,0.1549,0.3836,0.2836,0.0865,1.7473,0.945,1.08
USB,Financial Services,11.461,9.4887,3.1217,1.4106,,1.8505,,0.053,0.247,0.3933,0.2872,0.0,0.1218,0.0111,,,3.89
V,Financial Services,28.2441,20.6888,14.0116,15.0145,19.965,1.6485,0.038,0.146,0.174,0.683,0.5023,0.9778,0.5395,0.1836,0.5461,1.111,0.89
VICI,Real Estate,10.5977,9.3763,7.3808,1.0635,12.903,,0.0496,0.038,-0.034,0.8031,0.6928,0.9914,0.1022,0.0495,0.6268,17.233,6.44
VLO,Energy,32.2444,15.4168,0.6295,3.0756,10.907,4.0843,0.051,-0.021,3.179,0.0593,0.0202,0.1319,0.083,0.0502,0.4399,1.645,1.97
VLTO,Industrials,23.4069,19.312,3.9638,7.0408,16.7,3.264,0.0374,0.038,0.122,0.2271,0.1708,0.5995,0.365,0.1134,0.9269,1.669,0.59
VMC,Basic Materials,34.3833,25.8035,4.6022,4.2876,17.881,2.9222,0.0112,0.032,-0.138,0.1754,0.1356,0.2738,0.1297,0.0578,0.5778,2.686,0.74
VRSK,Industrials,28.5617,21.5389,8.3949,82.884,19.027,1.8087,0.0393,,,0.4398,0.2956,0.6988,4.3795,0.1646,15.818,1.202,1.08
VRSN,Technology,29.4949,24.9848,14.5407,-11.0853,21.737,2.7924,0.0342,0.076,0.118,0.6696,0.4984,0.8815,,0.5128,,0.489,1.25
VRT,Industrials,76.4006,32.4798,9.7723,25.3606,45.906,1.7706,0.0143,0.227,1.995,0.2117,0.1303,0.3632,0.4181,0.1112,0.819,1.547,0.1
VRTX,Healthcare,28.6551,19.9901,9.2863,5.9697,21.964,2.142,0.0231,0.095,0.329,0.396,0.3294,0.5366,0.2254,0.1216,0.1091,2.901,
VST,Utilities,69.3486,13.4193,2.8854,19.4995,13.973,1.3092,-0.009,0.136,-0.523,0.1322,0.0532,0.3324,0.1766,0.0349,3.9955,0.777,0.6
VTR,Real Estate,154.2037,87.0415,6.7986,3.1569,23.704,,0.0307,0.214,0.101,0.2035,0.0432,0.4121,0.0217,0.0218,1.02,0.341,2.5
VTRS,Healthcare,,5.0383,1.0825,1.0517,7.241,,0.1571,0.05,,0.0778,-0.2458,0.3955,-0.2108,0.0196,0.9991,1.38,3.57
VZ,Communication Services,12.1675,9.4011,1.5077,1.9943,7.508,1.217,0.0827,0.02,-0.533,0.2099,0.1243,0.5907,0.1707,0.0501,1.7478,0.913,5.73
WAB,Industrials,37.1757,21.3823,3.8871,3.8877,19.923,,0.0282,0.148,-0.038,0.1501,0.1048,0.3466,0.111,0.0606,0.5302,1.106,0.42
WAT,Healthcare,28.2488,18.6074,9.4293,7.0735,28.155,1.3223,0.0143,0.068,-0.031,0.3376,0.203,0.5928,0.2928,0.1152,0.6028,1.733,
WBD,Communication Services,94.2069,-1638.8722,1.8363,1.8863,13.743,216.9231,0.2339,-0.057,,0.0738,0.0195,0.4455,0.0208,0.0102,0.9891,1.056,
WDAY,Technology,51.0656,10.6188,3.6416,4.3911,23.61,0.5106,0.0866,0.145,0.629,0.1205,0.0726,0.757,0.0823,0.0355,0.4896,1.322,
WDC,Technology,27.9063,21.6286,9.3954,14.1033,30.085,0.595,0.0387,0.252,1.896,0.3192,0.3564,0.4272,0.4113,0.0915,0.6544,1.455,0.17
WEC,Utilities,24.4449,19.5663,3.9077,2.811,15.792,2.6077,-0.0559,0.111,-0.325,0.2131,0.1589,0.4238,0.1158,0.0302,1.5933,0.587,3.24
WELL,Real Estate,142.4859,61.4985,13.026,3.345,59.52,,0.0162,0.413,-0.263,-0.282,0.0864,0.4022,0.0254,0.0056,0.4949,1.697,1.46
WFC,Financial Services,12.8754,10.1688,3.1072,1.5152,,1.7186,,0.05,0.131,0.2994,0.2666,0.0,0.1173,0.0105,,,2.23
WM,Industrials,35.0849,25.1579,3.7674,9.4954,15.699,2.3922,0.0182,0.071,0.236,0.2004,0.1074,0.4044,0.297,0.0649,2.3938,0.889,1.45
WMB,Energy,33.6449,27.839,7.4426,6.8886,17.656,2.4572,-0.004,0.087,0.508,0.4125,0.2213,0.6212,0.1856,0.049,1.9703,0.531,2.92
WMT,Consumer Defensive,46.0769,38.2954,1.4062,10.0624,24.237,4.7117,0.0105,0.056,-0.19,0.0457,0.0307,0.2493,0.2185,0.0683,0.6444,0.79,0.79
WRB,Financial Services,14.8292,13.6385,1.705,2.5656,9.478,10.1476,0.1337,0.015,-0.218,0.1636,0.121,0.4341,0.197,0.0366,0.3192,0.399,0.55
WSM,Consumer Cyclical,20.3582,17.7749,2.7467,10.2755,13.271,2.4296,0.0405,-0.043,-0.073,0.2033,0.1394,0.4615,0.5152,0.1654,0.6996,1.388,1.69
WST,Healthcare,37.5811,28.7791,5.9746,5.7763,22.079,3.1078,0.0149,0.075,0.021,0.2164,0.1606,0.3591,0.1686,0.1009,0.1027,3.021,0.35
WTW,Financial Services,17.7625,12.8754,2.8111,3.4408,11.841,,0.0703,-0.033,-0.382,0.3539,0.1653,0.4158,0.2008,0.0483,0.8576,1.205,1.33
WY,Real Estate,54.2889,34.3514,2.5504,1.8675,32.384,1.8554,-0.0083,-0.098,-0.091,-0.1142,0.0469,0.1484,0.0338,0.0074,0.6069,1.293,3.44
WYNN,Consumer Cyclical,32.4936,17.1716,1.4906,-37.9576,11.407,0.677,0.039,0.015,-0.593,0.1567,0.0459,0.6818,,0.0548,,1.633,0.98
XEL,Utilities,23.6082,17.8567,3.4339,2.1326,14.41,2.2766,-0.1393,0.141,0.208,0.1668,0.1376,0.4574,0.0936,0.0239,1.5283,0.707,2.94
XOM,Energy,23.9836,17.073,2.0671,2.5889,12.067,2.0303,0.0183,-0.013,-0.11,0.0953,0.089,0.3105,0.1108,0.049,0.1894,1.153,2.56
XYL,Industrials,30.9337,19.9193,3.2632,2.5729,16.235,1.7574,0.0303,0.063,0.03,0.1598,0.1059,0.3846,0.084,0.0483,0.2107,1.625,1.42
XYZ,Technology,28.4667,12.6296,1.5015,1.621,18.138,0.6792,-0.0285,0.036,-0.939,0.0797,0.054,0.4306,0.0601,0.0288,0.4044,2.201,
YUM,Consumer Cyclical,28.0737,20.9154,5.2762,-5.9027,19.116,1.9216,0.0302,0.065,0.277,0.3193,0.1898,0.4616,,0.2265,,1.346,1.92
ZBH,Healthcare,25.6028,10.112,2.1883,1.3994,10.036,0.6254,0.0751,0.109,-0.408,0.1397,0.0857,0.6971,0.056,0.0394,0.6197,1.982,1.06
ZBRA,Technology,24.8268,10.0843,1.9043,2.8036,12.741,0.432,0.0641,0.106,-0.558,0.1505,0.0776,0.4805,0.1168,0.0607,0.7517,0.97,
ZTS,Healthcare,19.624,15.6339,5.4902,15.0453,13.966,1.9092,0.0345,0.03,0.061,0.3469,0.2824,0.7189,0.6599,0.1526,2.7959,3.028,1.8
